Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Atlanta,2232939,38502,138569,224436,296284,316141,140575,357762,83484,111114,262161,199202,64709,2010
Atlanta,2486837,40882,155916,236738,331695,313746,172968,399913,110827,126698,302641,220748,74065,2022
Atlanta,2270521,38560,124494,241265,305422,322948,163818,370994,97385,119021,266197,165960,54457,2021
Atlanta,2715402,39919,145340,241112,338514,355834,185119,430251,117639,138478,338489,281058,103649,2019
Atlanta,2715426,32705,147908,259457,331404,356826,165922,437256,104428,149405,341197,283640,105278,2018
Atlanta,2660218,36748,142731,251233,331257,362367,160946,431833,95952,135339,325313,290039,96460,2017
Atlanta,2598113,36089,160193,258656,321168,344074,148574,406260,99059,128197,319134,276516,100193,2016
Atlanta,2533900,40298,150012,252194,321136,349995,162464,414285,93763,120823,293170,247346,88414,2015
Atlanta,2444559,37628,140277,253538,315857,344087,154259,375452,92169,122319,298007,231136,79830,2014
Atlanta,2369931,41686,144359,255204,312571,360622,135252,367105,83085,111028,287536,201852,69631,2013
Atlanta,2297995,39716,146113,237028,302877,327796,142623,380259,87064,122385,265324,185561,61249,2012
Atlanta,2264984,38588,141496,241939,281085,308241,136613,374372,80761,123216,263611,202421,72641,2011
Atlanta,2588713,44118,139927,257494,308617,343624,175587,428964,111010,132745,314036,245520,87071,2023
Baltimore,1262209,19468,80350,127783,170112,184449,84223,204564,42634,62364,134932,104346,46984,2011
Baltimore,1211828,22149,78325,123344,161316,173252,93047,202394,48463,61511,121829,83828,42370,2023
Baltimore,1310551,20143,80539,132718,177853,183938,88870,205425,49197,67303,141513,112632,50420,2013
Baltimore,1258272,22742,84801,133764,167636,184149,86799,190230,44512,65698,126605,104872,46464,2010
Baltimore,1186643,17367,75209,123062,172482,175752,96716,188436,46547,58957,115534,83456,33125,2022
