Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Atlanta,2232939,2010,38502,2194437,1116005,814521,263911
Atlanta,2486837,2022,40882,2445955,1211063,940079,294813
Atlanta,2270521,2021,38560,2231961,1157947,853597,220417
Atlanta,2715402,2019,39919,2675483,1265919,1024857,384707
Atlanta,2715426,2018,32705,2682721,1261517,1032286,388918
Atlanta,2660218,2017,36748,2623470,1248534,988437,386499
Atlanta,2598113,2016,36089,2562024,1232665,952650,376709
Atlanta,2533900,2015,40298,2493602,1235801,922041,335760
Atlanta,2444559,2014,37628,2406931,1208018,887947,310966
Atlanta,2369931,2013,41686,2328245,1208008,848754,271483
Atlanta,2297995,2012,39716,2258279,1156437,855032,246810
Atlanta,2264984,2011,38588,2226396,1109374,841960,275062
Atlanta,2588713,2023,44118,2544595,1225249,986755,332591
Baltimore,1262209,2011,19468,1242741,646917,444494,151330
Baltimore,1211828,2023,22149,1189679,629284,434197,126198
Baltimore,1310551,2013,20143,1290408,663918,463438,163052
Baltimore,1258272,2010,22742,1235530,657149,427045,151336
Baltimore,1186643,2022,17367,1169276,643221,409474,116581
Baltimore,1314474,2015,20649,1293825,661011,474922,157892
Baltimore,1336740,2018,19079,1317661,659677,479026,178958
Baltimore,1338289,2016,17165,1321124,677716,479157,164251
Baltimore,1335323,2019,21071,1314252,648986,487476,177790
Baltimore,1316513,2014,18732,1297781,672707,469617,155457
Baltimore,1097176,2021,21956,1075220,613132,369219,92869
Baltimore,1336611,2017,18519,1318092,659458,483455,175179
Baltimore,1286794,2012,21976,1264818,669282,446578,148958
Boston,2446040,2018,46097,2399943,1128716,901477,369750
Boston,1876883,2021,45764,1831119,1000046,644439,186634
Boston,2380373,2015,56116,2324257,1122614,849739,351904
Boston,2297628,2013,51500,2246128,1145128,816885,284115
Boston,2407900,2016,47588,2360312,1154375,872955,332982
Boston,2166531,2010,55117,2111414,1126456,747269,237689
Boston,2195778,2023,43624,2152154,1071810,777949,302395
Boston,2194464,2011,53296,2141168,1118655,764073,258440
Boston,2261304,2012,55141,2206163,1131157,802339,272667
Boston,2084693,2022,44322,2040371,1034520,757472,248379
Boston,2434948,2017,47269,2387679,1151849,890672,345158
Boston,2312285,2014,49836,2262449,1131012,818469,312968
Boston,2500383,2019,48784,2451599,1150682,911844,389073
Charlotte,1136681,2023,25631,1111050,644997,383732,82321
Charlotte,804105,2012,18018,786087,489405,251404,45278
Charlotte,1118520,2016,14424,1104096,650360,384169,69567
Charlotte,1097942,2015,23078,1074864,627941,369328,77595
Charlotte,757128,2010,15373,741755,458681,243122,39952
Charlotte,1064335,2014,22609,1041726,624588,347585,69553
