Metro,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour,No Commute (%),Yes Commute (more than 5 minutes) (%),Short Commutes - Less than half-hour (%),Medium Commutes - Half-hour to one hour (%),Long Commutes - More than one hour (%)
Atlanta,2232939,2010,38502,2194437,1116005,814521,263911,1.72427,98.27573,50.8561,37.11754,12.02636
Atlanta,2486837,2022,40882,2445955,1211063,940079,294813,1.64394,98.35606,49.51289,38.43403,12.05308
Atlanta,2270521,2021,38560,2231961,1157947,853597,220417,1.69829,98.30171,51.88025,38.24426,9.87549
Atlanta,2715402,2019,39919,2675483,1265919,1024857,384707,1.4701,98.5299,47.31553,38.30549,14.37897
Atlanta,2715426,2018,32705,2682721,1261517,1032286,388918,1.20442,98.79558,47.02379,38.47907,14.49715
Atlanta,2660218,2017,36748,2623470,1248534,988437,386499,1.38139,98.61861,47.59094,37.6767,14.73236
Atlanta,2598113,2016,36089,2562024,1232665,952650,376709,1.38905,98.61095,48.11294,37.18349,14.70357
Atlanta,2533900,2015,40298,2493602,1235801,922041,335760,1.59035,98.40965,49.55887,36.97627,13.46486
Atlanta,2444559,2014,37628,2406931,1208018,887947,310966,1.53926,98.46074,50.18914,36.89125,12.91961
Atlanta,2369931,2013,41686,2328245,1208008,848754,271483,1.75895,98.24105,51.88492,36.45467,11.66041
Atlanta,2297995,2012,39716,2258279,1156437,855032,246810,1.72829,98.27171,51.20877,37.86211,10.92912
Atlanta,2264984,2011,38588,2226396,1109374,841960,275062,1.70368,98.29632,49.82824,37.81717,12.35459
Atlanta,2588713,2023,44118,2544595,1225249,986755,332591,1.70424,98.29576,48.15104,38.77847,13.07049
Baltimore,1262209,2011,19468,1242741,646917,444494,151330,1.54238,98.45762,52.05566,35.76723,12.17711
Baltimore,1211828,2023,22149,1189679,629284,434197,126198,1.82773,98.17227,52.89528,36.49699,10.60774
Baltimore,1310551,2013,20143,1290408,663918,463438,163052,1.53699,98.46301,51.45024,35.91407,12.63569
Baltimore,1258272,2010,22742,1235530,657149,427045,151336,1.8074,98.1926,53.18762,34.56371,12.24867
Baltimore,1186643,2022,17367,1169276,643221,409474,116581,1.46354,98.53646,55.01019,35.01945,9.97036
Baltimore,1314474,2015,20649,1293825,661011,474922,157892,1.57089,98.42911,51.08968,36.70682,12.20351
Baltimore,1336740,2018,19079,1317661,659677,479026,178958,1.42728,98.57272,50.06424,36.35427,13.58149
Baltimore,1338289,2016,17165,1321124,677716,479157,164251,1.28261,98.71739,51.29844,36.26889,12.43267
Baltimore,1335323,2019,21071,1314252,648986,487476,177790,1.57797,98.42203,49.38064,37.09152,13.52785
Baltimore,1316513,2014,18732,1297781,672707,469617,155457,1.42285,98.57715,51.83517,36.18615,11.97868
Baltimore,1097176,2021,21956,1075220,613132,369219,92869,2.00114,97.99886,57.02386,34.33893,8.63721
Baltimore,1336611,2017,18519,1318092,659458,483455,175179,1.38552,98.61448,50.03126,36.6784,13.29035
Baltimore,1286794,2012,21976,1264818,669282,446578,148958,1.70781,98.29219,52.91528,35.30769,11.77703
Boston,2446040,2018,46097,2399943,1128716,901477,369750,1.88456,98.11544,47.03095,37.56243,15.40662
Boston,1876883,2021,45764,1831119,1000046,644439,186634,2.4383,97.5617,54.61393,35.19373,10.19235
Boston,2380373,2015,56116,2324257,1122614,849739,351904,2.35745,97.64255,48.29991,36.5596,15.14049
Boston,2297628,2013,51500,2246128,1145128,816885,284115,2.24144,97.75856,50.98231,36.36859,12.6491
Boston,2407900,2016,47588,2360312,1154375,872955,332982,1.97633,98.02367,48.90773,36.98473,14.10754
Boston,2166531,2010,55117,2111414,1126456,747269,237689,2.54402,97.45598,53.35079,35.39187,11.25734
Boston,2195778,2023,43624,2152154,1071810,777949,302395,1.98672,98.01328,49.80173,36.14746,14.05081
Boston,2194464,2011,53296,2141168,1118655,764073,258440,2.42866,97.57134,52.24508,35.68487,12.07005
Boston,2261304,2012,55141,2206163,1131157,802339,272667,2.43846,97.56154,51.27259,36.36807,12.35933
Boston,2084693,2022,44322,2040371,1034520,757472,248379,2.12607,97.87393,50.70254,37.12423,12.17323
Boston,2434948,2017,47269,2387679,1151849,890672,345158,1.94127,98.05873,48.24137,37.30284,14.4558
Boston,2312285,2014,49836,2262449,1131012,818469,312968,2.15527,97.84473,49.99061,36.17624,13.83315
Boston,2500383,2019,48784,2451599,1150682,911844,389073,1.95106,98.04894,46.93598,37.19385,15.87017
Charlotte,1136681,2023,25631,1111050,644997,383732,82321,2.2549,97.7451,58.05292,34.53778,7.4093
Charlotte,804105,2012,18018,786087,489405,251404,45278,2.24075,97.75925,62.25838,31.9817,5.75992
Charlotte,1118520,2016,14424,1104096,650360,384169,69567,1.28956,98.71044,58.9043,34.79489,6.30081
Charlotte,1097942,2015,23078,1074864,627941,369328,77595,2.10193,97.89807,58.42051,34.36044,7.21905
Charlotte,757128,2010,15373,741755,458681,243122,39952,2.03044,97.96956,61.83726,32.77659,5.38615
Charlotte,1064335,2014,22609,1041726,624588,347585,69553,2.12424,97.87576,59.95703,33.36626,6.67671
Charlotte,1188458,2018,20306,1168152,671050,404161,92941,1.7086,98.2914,57.44544,34.59832,7.95624
Charlotte,995340,2021,22523,972817,602331,311606,58880,2.26284,97.73716,61.91617,32.03131,6.05253
Charlotte,1222404,2019,21676,1200728,703158,397429,100141,1.77323,98.22677,58.56097,33.099,8.34002
Charlotte,1030250,2013,22881,1007369,621762,319608,65999,2.22092,97.77908,61.72138,31.727,6.55162
Charlotte,1091947,2022,23872,1068075,640759,358658,68658,2.18619,97.81381,59.99195,33.57985,6.4282
Charlotte,1153392,2017,17489,1135903,671488,380307,84108,1.51631,98.48369,59.11491,33.48059,7.40451
Charlotte,781578,2011,15434,766144,476187,249227,40730,1.97472,98.02528,62.15372,32.53005,5.31623
Chicago,3595239,2021,72877,3522362,1859324,1299644,363394,2.02704,97.97296,52.78628,36.89695,10.31677
Chicago,4407706,2016,70339,4337367,2062269,1654807,620291,1.59582,98.40418,47.54656,38.15234,14.3011
Chicago,3923570,2022,74808,3848762,1943790,1445045,459927,1.90663,98.09337,50.50429,37.54571,11.95
Chicago,4375761,2015,69059,4306702,2064627,1611060,631015,1.57822,98.42178,47.93986,37.40821,14.65193
Chicago,4227545,2012,76833,4150712,2068032,1539525,543155,1.81744,98.18256,49.82355,37.09062,13.08583
Chicago,4459381,2019,67142,4392239,2047472,1701996,642771,1.50563,98.49437,46.61568,38.75008,14.63424
Chicago,4415454,2017,68183,4347271,2062684,1662758,621829,1.54419,98.45581,47.44779,38.24832,14.30389
Chicago,4455102,2018,71920,4383182,2057845,1679528,645809,1.61433,98.38567,46.94866,38.31755,14.73379
Chicago,4143034,2011,74289,4068745,2001274,1510905,556566,1.79311,98.20689,49.18652,37.13442,13.67906
Chicago,3978255,2023,79175,3899080,1960313,1452623,486144,1.99019,98.00981,50.2763,37.25553,12.46817
