Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2486837,1.64394,6.26965,9.51964,13.33803,12.61627,6.95534,16.08119,4.45654,5.09474,12.16972,8.87666,2.97828,2022
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2270521,1.69829,5.48306,10.62598,13.45163,14.22352,7.215,16.3396,4.2891,5.24201,11.72405,7.30934,2.39844,2021
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2715402,1.4701,5.35243,8.87942,12.46644,13.10428,6.81737,15.84484,4.33229,5.09972,12.46552,10.35051,3.81708,2019
"Atlanta-Sandy Springs-Marietta, GA Metro Area",2264984,1.70368,6.24711,10.68171,12.41002,13.60897,6.03152,16.52868,3.56563,5.44004,11.63854,8.93697,3.20713,2011
"Atlanta-Sandy Springs-Marietta, GA Metro Area",2232939,1.72427,6.20568,10.05115,13.26879,14.15807,6.29551,16.02202,3.73875,4.97613,11.74063,8.92107,2.89793,2010
"Atlanta-Sandy Springs-Marietta, GA Metro Area",2297995,1.72829,6.35828,10.31456,13.18005,14.26443,6.20641,16.54743,3.78869,5.32573,11.54589,8.07491,2.66532,2012
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2598113,1.38905,6.16574,9.95553,12.36159,13.24323,5.71853,15.63673,3.81273,4.93423,12.2833,10.64296,3.85638,2016
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2715426,1.20442,5.44695,9.55493,12.20449,13.1407,6.11035,16.10267,3.84573,5.50208,12.56514,10.44551,3.87703,2018
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2369931,1.75895,6.09127,10.76841,13.18903,15.21656,5.707,15.49011,3.5058,4.68486,12.13267,8.51721,2.9381,2013
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2660218,1.38139,5.36539,9.44408,12.45225,13.6217,6.05011,16.23299,3.60692,5.08752,12.22881,10.90283,3.62602,2017
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2588713,1.70424,5.40527,9.9468,11.92164,13.27393,6.78279,16.57055,4.28823,5.12784,12.13097,9.48425,3.36349,2023
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2444559,1.53926,5.73834,10.37152,12.92082,14.07563,6.3103,15.35868,3.77037,5.00372,12.19062,9.45512,3.26562,2014
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2533900,1.59035,5.9202,9.9528,12.67359,13.8125,6.41162,16.3497,3.70034,4.76826,11.56991,9.76147,3.48925,2015
"Boston-Cambridge-Newton, MA-NH Metro Area",2297628,2.24144,7.6337,11.14571,12.21629,12.55282,6.29105,15.1703,3.50235,5.55029,11.33047,9.44213,2.92345,2013
"Boston-Cambridge-Newton, MA-NH Metro Area",2380373,2.35745,7.07217,10.58632,11.92313,12.22485,5.35479,15.26076,3.31402,5.34038,11.78257,11.13523,3.64834,2015
"Boston-Cambridge-Newton, MA-NH Metro Area",2195778,1.98672,7.25073,10.1871,11.8823,12.82662,6.66556,14.85715,4.0004,5.54291,11.02885,10.25591,3.51575,2023
"Boston-Cambridge-Newton, MA-NH Metro Area",1876883,2.4383,7.84625,11.18402,13.4806,13.49216,7.27925,15.33058,3.71893,5.02887,10.25722,7.71923,2.22459,2021
"Boston-Cambridge-Newton, MA-NH Metro Area",2312285,2.15527,7.3366,10.58944,12.23296,12.73022,6.02395,14.66113,3.59458,5.47087,11.66997,10.23178,3.30323,2014
"Boston-Cambridge-Newton, MA-NH Metro Area",2434948,1.94127,7.01206,10.10017,11.97147,12.4348,5.78637,15.39109,3.82074,5.63388,11.73298,10.67082,3.50435,2017
"Boston-Cambridge-Newton, MA-NH Metro Area",2084693,2.12607,7.47659,10.2405,12.54137,12.68618,6.67993,15.79758,3.88062,5.48671,11.17004,8.89728,3.01713,2022
"Boston-Cambridge-Newton, MA-NH Metro Area",2446040,1.88456,6.98239,10.25196,11.66502,11.69388,5.55138,14.91799,3.89033,5.67411,12.37212,11.3427,3.77357,2018
"Boston-Cambridge-Newton, MA-NH Metro Area",2407900,1.97633,7.12986,10.64787,11.81013,12.54745,5.80585,15.23518,3.72615,5.32742,11.96503,10.35064,3.47809,2016
"Boston-Cambridge-Newton, MA-NH Metro Area",2500383,1.95106,6.6759,10.11241,11.55971,11.7444,5.92781,14.89164,3.82369,5.41545,12.33739,11.60442,3.95611,2019
"Boston-Cambridge-Quincy, MA-NH Metro Area",2194464,2.42866,8.40274,11.6855,12.37728,12.95587,5.55484,15.56417,3.42307,4.88215,10.94882,9.00179,2.77512,2011
"Boston-Cambridge-Quincy, MA-NH Metro Area",2261304,2.43846,8.01568,11.55824,12.56218,12.36671,5.51951,15.75586,3.39149,5.35686,10.97703,9.33519,2.72277,2012
"Boston-Cambridge-Quincy, MA-NH Metro Area",2166531,2.54402,8.13757,12.17822,11.93295,13.48044,6.26435,14.90036,3.47214,5.39369,10.7253,8.40874,2.56221,2010
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4096292,1.82802,7.35114,10.87708,11.87772,12.90086,5.61625,15.78174,3.27484,5.54694,11.8409,9.98886,3.11565,2010
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4227545,1.81744,7.38403,11.23941,11.40873,12.90969,5.97619,15.74692,3.49288,5.56978,11.60695,9.74428,3.10372,2012
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4143034,1.79311,7.14805,10.68789,11.78465,12.85613,5.82783,15.48163,3.49886,5.89889,11.58919,10.05623,3.37755,2011
"Chicago-Naperville-Elgin, IL-IN Metro Area",3978255,1.99019,7.1736,10.36826,11.95776,12.73837,7.03771,14.72962,4.08734,5.58061,12.11649,9.215,3.00504,2023
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4375761,1.57822,6.82201,9.79229,11.99656,12.38854,6.18386,15.20695,3.68279,5.73738,12.1907,10.76466,3.65603,2015
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4333467,1.69758,7.08987,10.21118,11.54016,12.52621,5.8665,15.59407,3.57335,5.68088,12.17176,10.65463,3.39382,2014
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4459381,1.50563,6.41026,9.51791,11.73981,11.88506,6.36077,15.62856,4.05747,5.7915,12.68912,10.93358,3.48033,2019
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4407706,1.59582,6.75208,10.08361,11.73159,12.21354,6.00698,15.49473,3.81856,5.96265,12.26756,10.73803,3.33484,2016
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4455102,1.61433,6.53987,10.00713,11.24232,12.16506,6.23636,15.50885,4.03344,5.74144,12.41525,10.92063,3.57532,2018
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4279656,1.85197,7.12139,10.47802,12.03232,12.78853,6.05911,15.25583,3.73336,5.69382,11.94566,9.96744,3.07256,2013
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3595239,2.02704,7.60575,10.88456,12.74013,13.39747,7.08837,15.69142,4.17458,5.20088,11.08216,7.73376,2.37389,2021
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4415454,1.54419,6.5788,10.03487,11.57421,12.27715,6.25007,15.45146,3.858,5.79406,12.55418,10.86892,3.2141,2017
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3923570,1.90663,7.06706,10.65945,12.37541,12.48998,6.94946,15.79411,3.93894,5.53932,11.55748,8.96587,2.75629,2022
"Dallas-Fort Worth-Arlington, TX Metro Area",3112015,1.89527,7.75205,12.0912,14.32908,14.2964,6.77693,16.89985,3.24664,4.48764,10.18205,6.13898,1.90391,2013
"Dallas-Fort Worth-Arlington, TX Metro Area",3036252,1.90989,7.015,11.87523,14.80971,14.97504,6.9429,17.07971,3.89734,4.687,9.44148,5.50056,1.86615,2021
"Dallas-Fort Worth-Arlington, TX Metro Area",3555123,1.49022,6.59789,11.28743,13.57033,14.6665,7.17562,17.16416,3.80766,4.63804,10.3172,7.20608,2.07889,2019
"Dallas-Fort Worth-Arlington, TX Metro Area",3199821,1.87801,7.60574,11.73653,14.34386,14.72535,6.62393,16.79491,3.34353,4.29868,10.64219,6.18247,1.82479,2014
"Dallas-Fort Worth-Arlington, TX Metro Area",2918497,2.01374,8.1775,12.10606,14.45419,15.45292,6.06103,17.39553,3.27929,4.15265,9.5016,5.74193,1.66356,2011
"Dallas-Fort Worth-Arlington, TX Metro Area",3487458,2.05703,7.4735,10.95721,13.60584,14.10047,7.15768,16.52106,3.64366,4.72083,10.57782,7.12387,2.06104,2023
"Dallas-Fort Worth-Arlington, TX Metro Area",3002472,1.96395,7.82019,12.26433,14.35164,14.44969,6.49825,17.5151,3.32686,4.38802,9.80129,5.65807,1.96262,2012
"Dallas-Fort Worth-Arlington, TX Metro Area",3356103,1.78022,6.92351,11.23911,13.55614,14.59866,6.50311,17.34971,3.61354,4.75769,10.4023,7.06835,2.20768,2016
