Metro Area,Total,Year,Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Atlanta,2232939,2010,1154507,814521,263911
Atlanta,2486837,2022,1251945,940079,294813
Atlanta,2270521,2021,1196507,853597,220417
Atlanta,2715402,2019,1305838,1024857,384707
Atlanta,2715426,2018,1294222,1032286,388918
Atlanta,2660218,2017,1285282,988437,386499
Atlanta,2598113,2016,1268754,952650,376709
Atlanta,2533900,2015,1276099,922041,335760
Atlanta,2444559,2014,1245646,887947,310966
Atlanta,2369931,2013,1249694,848754,271483
Atlanta,2297995,2012,1196153,855032,246810
Atlanta,2264984,2011,1147962,841960,275062
Atlanta,2588713,2023,1269367,986755,332591
Baltimore,1262209,2011,666385,444494,151330
Baltimore,1211828,2023,651433,434197,126198
Baltimore,1310551,2013,684061,463438,163052
Baltimore,1258272,2010,679891,427045,151336
Baltimore,1186643,2022,660588,409474,116581
Baltimore,1314474,2015,681660,474922,157892
Baltimore,1336740,2018,678756,479026,178958
Baltimore,1338289,2016,694881,479157,164251
Baltimore,1335323,2019,670057,487476,177790
Baltimore,1316513,2014,691439,469617,155457
Baltimore,1097176,2021,635088,369219,92869
Baltimore,1336611,2017,677977,483455,175179
Baltimore,1286794,2012,691258,446578,148958
Boston,2446040,2018,1174813,901477,369750
Boston,1876883,2021,1045810,644439,186634
Boston,2380373,2015,1178730,849739,351904
Boston,2297628,2013,1196628,816885,284115
Boston,2407900,2016,1201963,872955,332982
Boston,2166531,2010,1181573,747269,237689
Boston,2195778,2023,1115434,777949,302395
Boston,2194464,2011,1171951,764073,258440
Boston,2261304,2012,1186298,802339,272667
Boston,2084693,2022,1078842,757472,248379
Boston,2434948,2017,1199118,890672,345158
Boston,2312285,2014,1180848,818469,312968
Boston,2500383,2019,1199466,911844,389073
Charlotte,1136681,2023,670628,383732,82321
Charlotte,804105,2012,507423,251404,45278
Charlotte,1118520,2016,664784,384169,69567
Charlotte,1097942,2015,651019,369328,77595
Charlotte,757128,2010,474054,243122,39952
Charlotte,1064335,2014,647197,347585,69553
Charlotte,1188458,2018,691356,404161,92941
Charlotte,995340,2021,624854,311606,58880
Charlotte,1222404,2019,724834,397429,100141
Charlotte,1030250,2013,644643,319608,65999
Charlotte,1091947,2022,664631,358658,68658
Charlotte,1153392,2017,688977,380307,84108
Charlotte,781578,2011,491621,249227,40730
Chicago,3595239,2021,1932201,1299644,363394
Chicago,4407706,2016,2132608,1654807,620291
Chicago,3923570,2022,2018598,1445045,459927
Chicago,4375761,2015,2133686,1611060,631015
Chicago,4227545,2012,2144865,1539525,543155
Chicago,4459381,2019,2114614,1701996,642771
Chicago,4415454,2017,2130867,1662758,621829
Chicago,4455102,2018,2129765,1679528,645809
Chicago,4143034,2011,2075563,1510905,556566
Chicago,3978255,2023,2039488,1452623,486144
Chicago,4279656,2013,2154008,1567581,558067
Chicago,4096292,2010,2066623,1492870,536799
Chicago,4333467,2014,2120430,1604252,608785
