Metro,Total,Year,Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Atlanta,2232939,2010,51.70347,36.47753,11.819
Atlanta,2486837,2022,50.34287,37.8022,11.85494
Atlanta,2270521,2021,52.69746,37.59476,9.70777
Atlanta,2715402,2019,48.09004,37.74237,14.16759
Atlanta,2715426,2018,47.66184,38.01562,14.32254
Atlanta,2660218,2017,48.31491,37.15624,14.52885
Atlanta,2598113,2016,48.83367,36.667,14.49933
Atlanta,2533900,2015,50.36106,36.38822,13.25072
Atlanta,2444559,2014,50.95586,36.3234,12.72074
Atlanta,2369931,2013,52.73124,35.81345,11.45531
Atlanta,2297995,2012,52.05203,37.20774,10.74023
Atlanta,2264984,2011,50.68301,37.17289,12.1441
Atlanta,2588713,2023,49.03467,38.11759,12.84774
Baltimore,1262209,2011,52.79514,35.21556,11.9893
Baltimore,1211828,2023,53.75623,35.82992,10.41385
Baltimore,1310551,2013,52.19644,35.36207,12.44148
Baltimore,1258272,2010,54.03371,33.93901,12.02729
Baltimore,1186643,2022,55.66864,34.50692,9.82444
Baltimore,1314474,2015,51.85801,36.13019,12.0118
Baltimore,1336740,2018,50.77696,35.83539,13.38764
Baltimore,1338289,2016,51.92309,35.8037,12.27321
Baltimore,1335323,2019,50.17939,36.50622,13.31438
Baltimore,1316513,2014,52.52048,35.67128,11.80824
Baltimore,1097176,2021,57.88388,33.65176,8.46437
Baltimore,1336611,2017,50.72358,36.17021,13.10621
Baltimore,1286794,2012,53.7194,34.7047,11.5759
Boston,2446040,2018,48.02918,36.85455,15.11627
Boston,1876883,2021,55.72058,34.3356,9.94383
Boston,2380373,2015,49.51871,35.69772,14.78357
Boston,2297628,2013,52.08102,35.55341,12.36558
Boston,2407900,2016,49.91748,36.25379,13.82873
Boston,2166531,2010,54.53755,34.4915,10.97095
Boston,2195778,2023,50.79903,35.42931,13.77166
Boston,2194464,2011,53.40489,34.81821,11.77691
Boston,2261304,2012,52.46079,35.48125,12.05795
Boston,2084693,2022,51.75064,36.33494,11.91442
Boston,2434948,2017,49.24614,36.57869,14.17517
Boston,2312285,2014,51.06845,35.39654,13.53501
Boston,2500383,2019,47.97129,36.46817,15.56054
Charlotte,1136681,2023,58.99879,33.75899,7.24223
Charlotte,804105,2012,63.10407,31.26507,5.63086
