Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour,No Commute (%),Yes Commute (more than 5 minutes) (%),Short Commutes - Less than half-hour (%),Medium Commutes - Half-hour to one hour (%),Long Commutes - More than one hour (%)
Atlanta,2232939,2010,38502,2194437,1116005,814521,263911,1.72427,98.27573,50.8561,37.11754,12.02636
Atlanta,2715426,2018,32705,2682721,1261517,1032286,388918,1.20442,98.79558,47.02379,38.47907,14.49715
Atlanta,2588713,2023,44118,2544595,1225249,986755,332591,1.70424,98.29576,48.15104,38.77847,13.07049
Atlanta,2533900,2015,40298,2493602,1235801,922041,335760,1.59035,98.40965,49.55887,36.97627,13.46486
Atlanta,2264984,2011,38588,2226396,1109374,841960,275062,1.70368,98.29632,49.82824,37.81717,12.35459
Atlanta,2660218,2017,36748,2623470,1248534,988437,386499,1.38139,98.61861,47.59094,37.6767,14.73236
Atlanta,2486837,2022,40882,2445955,1211063,940079,294813,1.64394,98.35606,49.51289,38.43403,12.05308
Atlanta,2444559,2014,37628,2406931,1208018,887947,310966,1.53926,98.46074,50.18914,36.89125,12.91961
Atlanta,2369931,2013,41686,2328245,1208008,848754,271483,1.75895,98.24105,51.88492,36.45467,11.66041
Atlanta,2270521,2021,38560,2231961,1157947,853597,220417,1.69829,98.30171,51.88025,38.24426,9.87549
Atlanta,2297995,2012,39716,2258279,1156437,855032,246810,1.72829,98.27171,51.20877,37.86211,10.92912
Atlanta,2715402,2019,39919,2675483,1265919,1024857,384707,1.4701,98.5299,47.31553,38.30549,14.37897
Atlanta,2598113,2016,36089,2562024,1232665,952650,376709,1.38905,98.61095,48.11294,37.18349,14.70357
Austin,893212,2013,20515,872697,521548,285908,65241,2.29677,97.70323,59.76278,32.76143,7.47579
Austin,1023148,2023,24217,998931,566233,356646,76052,2.36691,97.63309,56.6839,35.70277,7.61334
Austin,785623,2010,18123,767500,482507,236002,48991,2.30683,97.69317,62.86736,30.74945,6.38319
Austin,1049865,2018,18777,1031088,588301,359601,83186,1.78852,98.21148,57.05633,34.87588,8.06779
Austin,964960,2022,24420,940540,560540,313229,66771,2.53067,97.46933,59.59768,33.3031,7.09922
Austin,955039,2015,18119,936920,561283,306493,69144,1.8972,98.1028,59.90725,32.71283,7.37993
Austin,986568,2016,23598,962970,561906,320975,80089,2.39193,97.60807,58.35135,33.33178,8.31687
Austin,1078106,2019,20190,1057916,602408,362172,93336,1.87273,98.12727,56.9429,34.23448,8.82263
Austin,856005,2021,19773,836232,498599,279472,58161,2.30992,97.69008,59.62448,33.42039,6.95513
Austin,1016302,2017,19743,996559,582131,337184,77244,1.94263,98.05737,58.4141,33.83483,7.75107
Austin,918383,2014,17985,900398,539957,289165,71276,1.95833,98.04167,59.9687,32.11524,7.91605
Austin,852934,2012,23141,829793,506426,268059,55308,2.71311,97.28689,61.0304,32.30432,6.66528
Austin,813089,2011,17256,795833,491266,247359,57208,2.12228,97.87772,61.72979,31.08177,7.18844
Baltimore,1338289,2016,17165,1321124,677716,479157,164251,1.28261,98.71739,51.29844,36.26889,12.43267
Baltimore,1310551,2013,20143,1290408,663918,463438,163052,1.53699,98.46301,51.45024,35.91407,12.63569
Baltimore,1211828,2023,22149,1189679,629284,434197,126198,1.82773,98.17227,52.89528,36.49699,10.60774
Baltimore,1336740,2018,19079,1317661,659677,479026,178958,1.42728,98.57272,50.06424,36.35427,13.58149
Baltimore,1336611,2017,18519,1318092,659458,483455,175179,1.38552,98.61448,50.03126,36.6784,13.29035
Baltimore,1314474,2015,20649,1293825,661011,474922,157892,1.57089,98.42911,51.08968,36.70682,12.20351
Baltimore,1097176,2021,21956,1075220,613132,369219,92869,2.00114,97.99886,57.02386,34.33893,8.63721
Baltimore,1316513,2014,18732,1297781,672707,469617,155457,1.42285,98.57715,51.83517,36.18615,11.97868
Baltimore,1286794,2012,21976,1264818,669282,446578,148958,1.70781,98.29219,52.91528,35.30769,11.77703
Baltimore,1335323,2019,21071,1314252,648986,487476,177790,1.57797,98.42203,49.38064,37.09152,13.52785
Baltimore,1258272,2010,22742,1235530,657149,427045,151336,1.8074,98.1926,53.18762,34.56371,12.24867
Baltimore,1262209,2011,19468,1242741,646917,444494,151330,1.54238,98.45762,52.05566,35.76723,12.17711
Baltimore,1186643,2022,17367,1169276,643221,409474,116581,1.46354,98.53646,55.01019,35.01945,9.97036
"Birmingham,",491303,2023,11735,479568,273260,169681,36627,2.38855,97.61145,56.98045,35.38205,7.6375
Boston,2194464,2011,53296,2141168,1118655,764073,258440,2.42866,97.57134,52.24508,35.68487,12.07005
Boston,2434948,2017,47269,2387679,1151849,890672,345158,1.94127,98.05873,48.24137,37.30284,14.4558
Boston,2446040,2018,46097,2399943,1128716,901477,369750,1.88456,98.11544,47.03095,37.56243,15.40662
Boston,1876883,2021,45764,1831119,1000046,644439,186634,2.4383,97.5617,54.61393,35.19373,10.19235
